,Asset No
7648,523699
12367,604149
12368,604150
12369,604151
12370,604152
12371,604153
12372,604154
12373,604155
12374,604156
12375,604157
12376,604158
12377,604159
12378,604160
12379,604161
12380,604162
12381,604163
12382,604164
12383,604165
12384,604166
12385,604167
12386,604168
12387,604169
12388,604170
12389,604171
12390,604172
12391,604173
12392,604174
12393,604175
12394,604176
12395,604177
12396,604178
12397,604179
12398,604180
12399,604181
12400,604182
12401,604183
12402,604184
12403,604185
12404,604186
12405,604187
12406,604188
12407,604189
12408,604190
12409,604191
12410,604192
12411,604193
12412,604194
12413,604195
12414,604196
12415,604197
12416,604198
12417,604199
12418,604200
12419,604201
12420,604202
12421,604203
12422,604204
12423,604205
12424,604206
12425,604207
12426,604208
12427,604209
12428,604210
12429,604211
12430,604212
12431,604213
12432,604214
12433,604215
12434,604216
12435,604217
12436,604218
12437,604219
12438,604220
12439,604221
12440,604222
12441,604223
12442,604224
12443,604225
12444,604226
12445,604227
12446,604228
12447,604229
12448,604230
12449,604231
12450,604232
12451,604233
12452,604234
12453,604235
12454,604236
12455,604237
12456,604238
12457,604239
12458,604240
12459,604241
12460,604242
12461,604243
12462,604244
12463,604245
12464,604246
12465,604247
12466,604248
12467,604249
12468,604250
12469,604251
12470,604252
12471,604253
12472,604254
12473,604255
12474,604256
12475,604257
12476,604258
12477,604259
12478,604260
12479,604261
12480,604262
12481,604263
12482,604264
12483,604265
12484,604266
12485,604267
12486,604268
12487,604269
12488,604270
12489,604271
12490,604272
12491,604273
12492,604274
12493,604275
12494,604276
12495,604277
12496,604278
12497,604279
12498,604280
12499,604281
12500,604282
12501,604283
12502,604284
12503,604285
12504,
