,Asset No,Final Closing Assets_x,Cost Beginning Balance_y
0,400653.0,686500.0,686500.0
1,574692.0,898414.17,898414.17
2,574696.0,112360.12,112360.12
4,580693.0,1506459.35,1506459.35
5,580694.0,583331.11,583331.11
6,580695.0,296429.11,296429.11
7,299644.0,13661916.64,13661916.64
8,495742.0,17997.38,17997.38
9,495745.0,17997.38,17997.38
10,495870.0,18606.84,18606.84
11,511708.0,1267978.02,1267978.02
12,511709.0,1469344.7,1469344.7
13,511710.0,901317.92,901317.92
14,523693.0,147417.31,147417.31
15,528692.0,9303.42,9303.42
16,600691.0,59400.0,59400.0
17,600692.0,61800.0,61800.0
18,600693.0,357500.0,357500.0
19,600694.0,96156.5,96156.5
20,600695.0,26393.19,26393.19
21,600696.0,98657.48,98657.48
22,600697.0,72517.88,72517.88
23,600698.0,33135.55,33135.55
24,492720.0,10689.29,10689.29
25,492721.0,41985.49,41985.49
26,492776.0,11425.03,11425.03
27,492779.0,10684.24,10684.24
28,545700.0,34630.91,34630.91
29,547691.0,69261.82,69261.82
30,554692.0,10684.24,10684.24
31,558703.0,35112.55,35112.55
32,579692.0,1061794.35,1061794.35
33,589693.0,298599.0,298599.0
34,597691.0,136886.25,136886.25
35,575698.0,251566.44,251566.44
36,575699.0,381242.23,381242.23
37,586691.0,148809.7,148809.7
38,543691.0,434178.53,434178.53
39,596691.0,227785.7,227785.7
40,602721.0,603000.0,603000.0
41,602813.0,30526.55,30526.55
42,602819.0,0.0,0.0
43,602835.0,0.0,0.0
44,602836.0,0.0,0.0
45,602896.0,0.0,0.0
46,602897.0,0.0,0.0
47,602931.0,20814.08,20814.08
48,603360.0,0.0,0.0
49,603361.0,0.0,0.0
50,603374.0,0.0,0.0
51,603390.0,239000.0,239000.0
52,603550.0,0.0,0.0
53,603597.0,0.0,0.0
